permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
RP-2020-015065,philadelphia,2021-01-08,1,Residential Building,New Construction,true,Completed,-75.18369396053505,40.0369115910987,240 W PASTORIUS ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-004412,philadelphia,2021-06-07,1,Residential Building,New Construction,true,Completed,-75.14151162045258,39.97918398125054,1847 N LEITHGOW ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-011165,philadelphia,2020-11-19,1,Residential Building,New Construction,true,Completed,-75.11693210992816,39.971272101012175,2001 BEACH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2020-010752,philadelphia,2020-10-26,1,Residential Building,New Construction,true,Completed,-75.11693210992816,39.971272101012175,2001 BEACH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-001488,philadelphia,2021-05-07,1,Residential Building,New Construction,true,Completed,-75.13561002988378,39.98013516128785,1945 MUTTER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-007927,philadelphia,2024-09-04,1,Residential Building,New Construction,true,Completed,-75.18790702952214,39.93643431086566,2617 SEARS ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-004716,philadelphia,2021-06-17,1,Residential Building,New Construction,true,Completed,-75.18169422973727,39.933779181349315,2220 WILDER ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2020-004221,philadelphia,2021-12-30,40,Building,New Construction,true,Issued,-75.1532469603137,39.960919151229554,901 BUTTONWOOD ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2021-004564,philadelphia,2021-09-27,1,Residential Building,New Construction,true,Completed,-75.20069281008634,39.939180510741004,1234 S HARMONY ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2022-001850,philadelphia,2022-08-04,1,Residential Building,New Construction,true,Expired,-75.14727062989505,39.984558901168405,2153 N DARIEN ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2024-004421,philadelphia,2024-06-17,1,Residential Building,New Construction,true,Issued,-75.15781192013776,39.930800420482235,1433 S 8TH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
RP-2023-004061,philadelphia,2023-09-29,2,Residential Building,New Construction,true,Completed,-75.15840822003013,39.98885636107889,2316 N SYDENHAM ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2022-003321,philadelphia,2022-09-01,3,Building,New Construction,true,Completed,-75.1485762202889,39.98711927079838,939 W DAUPHIN ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2021-004644,philadelphia,2021-12-09,53,Building,New Construction,true,Completed,-75.23542743996913,40.03629826065017,5001 UMBRIA ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2022-006172,philadelphia,2023-11-15,5,Building,New Construction,true,Expired,-75.16978978966763,39.98264063109398,1832 N VAN PELT ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
CP-2020-005575,philadelphia,2020-11-11,4,Building,New Construction,true,Completed,-75.16407993041918,39.98169319111959,1820 N 18TH ST,https://eclipse.phila.gov/phillylmsprod/int/lms/Login.aspx
