permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
MP-2022-12650,pittsburgh,2023-01-10,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9879335135,40.445388572,"1547 CLIFF ST, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
EP-2022-05669,pittsburgh,2022-04-18,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0111776957,40.4605596246,"1854 CLAYTON AVE, Pittsburgh, PA 15214-",https://data.wprdc.org/dataset/pli-permits
MP-2023-12294,pittsburgh,2024-01-25,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-80.0462399238,40.4791642542,"3300 PREBLE AVE #840, Pittsburgh, PA 15233-",https://data.wprdc.org/dataset/pli-permits
SP-2023-07768,pittsburgh,2023-07-25,0,Sign Permit,NEW,false,Completed,-79.9983361881,40.4396403468,"440 SMITHFIELD ST, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
EP-2022-17976,pittsburgh,2022-12-13,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9490430905,40.4815042604,"519 54TH ST, Pittsburgh, 15201-",https://data.wprdc.org/dataset/pli-permits
OLP-2023-01983,pittsburgh,2023-09-14,0,Occupant Load Placard Permit,NEW,false,Completed,-79.9585219413,40.4413543266,"3612 5TH AVE #303, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
BP-2021-00445,pittsburgh,2021-01-28,0,BUILDING,NEW CONSTRUCTION,false,Expired,-79.94390358,40.4417684612,"4927 MARGARET MORRISON ST, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
OLP-2021-17078,pittsburgh,2021-11-01,0,Occupant Load Placard Permit,NEW,false,Completed,-80.0062348098,40.4391332671,"11 STANWIX ST #150, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
EP-2024-13544,pittsburgh,2024-12-24,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9356194061,40.4676292113,"5352 HILLCREST ST, Pittsburgh, PA 15224-",https://data.wprdc.org/dataset/pli-permits
MP-2022-07626,pittsburgh,2022-09-19,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.966016625,40.4648548899,"3529 BUTLER ST, Pittsburgh, 15201-",https://data.wprdc.org/dataset/pli-permits
OOP-2021-12492,pittsburgh,2021-11-16,0,Occupancy Only Permit,NEW USE,true,Completed,-79.957811289,40.4707967374,"264 45TH ST, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
